tree	llh	pi_0	pi_1	pi_3	pi_4	f_0_0	f_0_1	f_0_3	f_0_4	f_1_0	f_1_1	f_1_3	f_1_4
0	-348.54327392578125	-1	0	0	0	0.44545453786849976	0.23157894611358643	0.06315789371728897	0.12173912674188614	0.4098360538482666	0.1666666716337204	0.0784313753247261	9.999999974752427e-07
1	-348.54327392578125	-1	0	0	1	0.44545453786849976	0.23157894611358643	0.06315789371728897	0.12173912674188614	0.4098360538482666	0.1666666716337204	0.0784313753247261	9.999999974752427e-07
2	-348.54327392578125	-1	0	1	0	0.44545453786849976	0.23157894611358643	0.06315789371728897	0.12173912674188614	0.4098360538482666	0.1666666716337204	0.0784313753247261	9.999999974752427e-07
3	-348.54327392578125	-1	0	1	1	0.44545453786849976	0.23157894611358643	0.06315789371728897	0.12173912674188614	0.4098360538482666	0.1666666716337204	0.0784313753247261	9.999999974752427e-07
